Target, Prediction, Time
1405.91,0,2012-05-26 03:23:00
1676.51,1959.79341709,2012-05-26 03:24:00
1698.68,1959.79341709,2012-05-26 03:25:00
1717.28,0,2012-05-26 03:26:00
1733.08,0,2012-05-26 03:27:00
1745.5,0,2012-05-26 03:28:00
1762.22,2030.52181713,2012-05-26 03:29:00
1734.56,2030.52181713,2012-05-26 03:30:00
1390.83,0,2012-05-26 03:31:00
1389.27,0,2012-05-26 03:32:00
1385.44,0,2012-05-26 03:33:00
1384.97,2031.07076497,2012-05-26 03:34:00
1385.58,2031.07076497,2012-05-26 03:35:00
1385.23,0,2012-05-26 03:36:00
1380.74,0,2012-05-26 03:37:00
1441.85,0,2012-05-26 03:38:00
1505.6,2073.64901505,2012-05-26 03:39:00
1507.86,2073.64901505,2012-05-26 03:40:00
1499.34,0,2012-05-26 03:41:00
1500.04,0,2012-05-26 03:42:00
1600.1,0,2012-05-26 03:43:00
1667.72,2027.19752606,2012-05-26 03:44:00
1660.12,2027.19752606,2012-05-26 03:45:00
1666.74,0,2012-05-26 03:46:00
1647.26,0,2012-05-26 03:47:00
1621.52,0,2012-05-26 03:48:00
1562.85,2032.9725486,2012-05-26 03:49:00
1562.37,2032.9725486,2012-05-26 03:50:00
1562.15,0,2012-05-26 03:51:00
1401.01,0,2012-05-26 03:52:00
1406.93,0,2012-05-26 03:53:00
1658.46,2012.51489635,2012-05-26 03:54:00
1760.53,2012.51489635,2012-05-26 03:55:00
1771.63,0,2012-05-26 03:56:00
1864.42,0,2012-05-26 03:57:00
1838.55,0,2012-05-26 03:58:00
1788.8,1904.29703151,2012-05-26 03:59:00
1795.81,1904.29703151,2012-05-26 04:00:00
2069.05,0,2012-05-26 04:01:00
2324.0,0,2012-05-26 04:02:00
2299.77,0,2012-05-26 04:03:00
2273.67,1858.57655465,2012-05-26 04:04:00
2145.34,1858.57655465,2012-05-26 04:05:00
2175.41,0,2012-05-26 04:06:00
2157.56,0,2012-05-26 04:07:00
2133.27,0,2012-05-26 04:08:00
2147.72,1838.45756644,2012-05-26 04:09:00
2160.48,1838.45756644,2012-05-26 04:10:00
2163.94,0,2012-05-26 04:11:00
1776.56,0,2012-05-26 04:12:00
1772.73,0,2012-05-26 04:13:00
1770.01,1745.04250454,2012-05-26 04:14:00
1760.35,1745.04250454,2012-05-26 04:15:00
1748.91,0,2012-05-26 04:16:00
1742.38,0,2012-05-26 04:17:00
1756.62,0,2012-05-26 04:18:00
1853.94,1732.09789001,2012-05-26 04:19:00
1914.26,1732.09789001,2012-05-26 04:20:00
1938.99,0,2012-05-26 04:21:00
1868.03,0,2012-05-26 04:22:00
1436.11,0,2012-05-26 04:23:00
1430.03,1732.1124107,2012-05-26 04:24:00
1489.15,1732.1124107,2012-05-26 04:25:00
1659.26,0,2012-05-26 04:26:00
1775.18,0,2012-05-26 04:27:00
1855.74,0,2012-05-26 04:28:00
1864.89,1862.91137711,2012-05-26 04:29:00
1870.49,1862.91137711,2012-05-26 04:30:00
1878.52,0,2012-05-26 04:31:00
1884.13,0,2012-05-26 04:32:00
1891.3,0,2012-05-26 04:33:00
1899.54,1871.44881932,2012-05-26 04:34:00
2021.43,1871.44881932,2012-05-26 04:35:00
2235.25,0,2012-05-26 04:36:00
2229.68,0,2012-05-26 04:37:00
2216.35,0,2012-05-26 04:38:00
2218.15,1887.60458079,2012-05-26 04:39:00
2215.75,1887.60458079,2012-05-26 04:40:00
2211.14,0,2012-05-26 04:41:00
2005.67,0,2012-05-26 04:42:00
1391.04,0,2012-05-26 04:43:00
1389.09,1869.31651924,2012-05-26 04:44:00
1392.36,1869.31651924,2012-05-26 04:45:00
1224.38,0,2012-05-26 04:46:00
1022.2,0,2012-05-26 04:47:00
1014.09,0,2012-05-26 04:48:00
1006.1,1824.34732393,2012-05-26 04:49:00
1008.93,1824.34732393,2012-05-26 04:50:00
1027.22,0,2012-05-26 04:51:00
1028.96,0,2012-05-26 04:52:00
1020.88,0,2012-05-26 04:53:00
1012.62,1820.54770913,2012-05-26 04:54:00
1010.73,1820.54770913,2012-05-26 04:55:00
1015.98,0,2012-05-26 04:56:00
1011.11,0,2012-05-26 04:57:00
1014.22,0,2012-05-26 04:58:00
1019.01,1794.02360512,2012-05-26 04:59:00
1011.49,1794.02360512,2012-05-26 05:00:00
1006.45,0,2012-05-26 05:01:00
1004.41,0,2012-05-26 05:02:00
1509.65,0,2012-05-26 05:03:00
1508.9,1808.4919995,2012-05-26 05:04:00
1487.42,1808.4919995,2012-05-26 05:05:00
1495.91,0,2012-05-26 05:06:00
1494.04,0,2012-05-26 05:07:00
1493.43,0,2012-05-26 05:08:00
1495.53,1713.61343963,2012-05-26 05:09:00
1492.03,1713.61343963,2012-05-26 05:10:00
1482.13,0,2012-05-26 05:11:00
1503.46,0,2012-05-26 05:12:00
1488.99,0,2012-05-26 05:13:00
1493.03,1667.3224282,2012-05-26 05:14:00
1454.1,1667.3224282,2012-05-26 05:15:00
0.0,0,2012-05-26 05:16:00
1518.84,0,2012-05-26 05:17:00
1837.29,0,2012-05-26 05:18:00
1841.25,1692.48045935,2012-05-26 05:19:00
1862.01,1692.48045935,2012-05-26 05:20:00
1868.19,0,2012-05-26 05:21:00
1860.26,0,2012-05-26 05:22:00
1869.4,0,2012-05-26 05:23:00
1663.87,1622.02928701,2012-05-26 05:24:00
1384.0,1622.02928701,2012-05-26 05:25:00
1169.5,0,2012-05-26 05:26:00
1298.02,0,2012-05-26 05:27:00
1596.61,0,2012-05-26 05:28:00
1638.9,1539.30207108,2012-05-26 05:29:00
1654.33,1539.30207108,2012-05-26 05:30:00
1667.07,0,2012-05-26 05:31:00
1665.44,0,2012-05-26 05:32:00
1674.75,0,2012-05-26 05:33:00
1672.26,1539.30207108,2012-05-26 05:34:00
1547.24,1539.30207108,2012-05-26 05:35:00
1561.25,0,2012-05-26 05:36:00
1496.2,0,2012-05-26 05:37:00
1619.15,0,2012-05-26 05:38:00
1777.32,1562.45162474,2012-05-26 05:39:00
1787.78,1562.45162474,2012-05-26 05:40:00
1792.65,0,2012-05-26 05:41:00
1795.53,0,2012-05-26 05:42:00
1803.23,555.348648462,2012-05-26 05:43:00
1814.05,1586.0944393,2012-05-26 05:44:00
1802.67,1586.0944393,2012-05-26 05:45:00
1807.71,0,2012-05-26 05:46:00
1808.35,0,2012-05-26 05:47:00
1901.07,0,2012-05-26 05:48:00
1899.02,1663.10888871,2012-05-26 05:49:00
1919.57,1663.10888871,2012-05-26 05:50:00
1920.72,0,2012-05-26 05:51:00
1907.91,0,2012-05-26 05:52:00
1903.34,0,2012-05-26 05:53:00
1897.62,1696.40174393,2012-05-26 05:54:00
1894.3,1696.40174393,2012-05-26 05:55:00
1894.89,0,2012-05-26 05:56:00
1851.18,0,2012-05-26 05:57:00
1524.82,0,2012-05-26 05:58:00
1518.38,1710.59217897,2012-05-26 05:59:00
1525.17,1710.59217897,2012-05-26 06:00:00
1521.6,0,2012-05-26 06:01:00
1521.16,0,2012-05-26 06:02:00
1517.22,0,2012-05-26 06:03:00
1843.11,1718.7057612,2012-05-26 06:04:00
1998.22,1718.7057612,2012-05-26 06:05:00
1993.44,0,2012-05-26 06:06:00
1976.15,0,2012-05-26 06:07:00
1970.29,0,2012-05-26 06:08:00
1964.96,1724.89318401,2012-05-26 06:09:00
1945.11,1724.89318401,2012-05-26 06:10:00
1966.4,0,2012-05-26 06:11:00
1960.29,580.065868282,2012-05-26 06:12:00
1967.66,0,2012-05-26 06:13:00
1960.4,1739.19366456,2012-05-26 06:14:00
1955.36,1739.19366456,2012-05-26 06:15:00
1967.11,0,2012-05-26 06:16:00
1963.53,0,2012-05-26 06:17:00
1985.69,0,2012-05-26 06:18:00
1963.4,1779.76042939,2012-05-26 06:19:00
1964.8,1779.76042939,2012-05-26 06:20:00
1947.15,0,2012-05-26 06:21:00
1959.8,0,2012-05-26 06:22:00
1952.22,0,2012-05-26 06:23:00
1962.13,1791.49778366,2012-05-26 06:24:00
1850.15,1791.49778366,2012-05-26 06:25:00
1476.5,0,2012-05-26 06:26:00
1539.55,1160.13173656,2012-05-26 06:27:00
1790.92,580.065868282,2012-05-26 06:28:00
1812.32,1818.77174693,2012-05-26 06:29:00
1820.42,1818.77174693,2012-05-26 06:30:00
1851.67,580.065868282,2012-05-26 06:31:00
2045.22,580.065868282,2012-05-26 06:32:00
3123.1,0,2012-05-26 06:33:00
3255.06,1854.93727833,2012-05-26 06:34:00
2084.35,1854.93727833,2012-05-26 06:35:00
1745.48,0,2012-05-26 06:36:00
1647.02,0,2012-05-26 06:37:00
1625.73,0,2012-05-26 06:38:00
1589.58,1902.61056821,2012-05-26 06:39:00
2343.28,2482.67643649,2012-05-26 06:40:00
2211.34,580.065868282,2012-05-26 06:41:00
2268.34,0,2012-05-26 06:42:00
2368.04,0,2012-05-26 06:43:00
2475.7,2536.53714919,2012-05-26 06:44:00
2520.35,1956.47128091,2012-05-26 06:45:00
2597.34,0,2012-05-26 06:46:00
2504.56,0,2012-05-26 06:47:00
2702.16,580.065868282,2012-05-26 06:48:00
2674.13,1962.10978911,2012-05-26 06:49:00
2583.24,1962.10978911,2012-05-26 06:50:00
2468.2,0,2012-05-26 06:51:00
2470.11,0,2012-05-26 06:52:00
2468.4,0,2012-05-26 06:53:00
1832.73,1917.08463389,2012-05-26 06:54:00
1606.79,1917.08463389,2012-05-26 06:55:00
1628.8,0,2012-05-26 06:56:00
1606.53,0,2012-05-26 06:57:00
1737.58,0,2012-05-26 06:58:00
1727.48,1929.8496828,2012-05-26 06:59:00
1740.87,1929.8496828,2012-05-26 07:00:00
1766.33,1263.65194536,2012-05-26 07:01:00
1823.72,0,2012-05-26 07:02:00
1820.68,631.825972681,2012-05-26 07:03:00
1754.04,1959.94178627,2012-05-26 07:04:00
1824.6,2591.76775895,2012-05-26 07:05:00
2269.64,0,2012-05-26 07:06:00
2178.92,0,2012-05-26 07:07:00
2169.68,0,2012-05-26 07:08:00
2154.66,1971.97837257,2012-05-26 07:09:00
2147.64,1971.97837257,2012-05-26 07:10:00
2146.86,0,2012-05-26 07:11:00
2147.61,0,2012-05-26 07:12:00
2135.39,0,2012-05-26 07:13:00
2146.52,1955.24921873,2012-05-26 07:14:00
3082.18,1955.24921873,2012-05-26 07:15:00
3614.95,0,2012-05-26 07:16:00
3653.38,0,2012-05-26 07:17:00
3474.91,0,2012-05-26 07:18:00
2963.17,1891.33477803,2012-05-26 07:19:00
3631.12,1891.33477803,2012-05-26 07:20:00
3207.67,0,2012-05-26 07:21:00
2173.75,0,2012-05-26 07:22:00
2132.71,0,2012-05-26 07:23:00
2125.01,1937.52244726,2012-05-26 07:24:00
2138.8,1937.52244726,2012-05-26 07:25:00
2145.41,0,2012-05-26 07:26:00
1758.96,0,2012-05-26 07:27:00
1674.3,0,2012-05-26 07:28:00
1696.91,1883.8728878,2012-05-26 07:29:00
1695.84,1883.8728878,2012-05-26 07:30:00
1688.23,0,2012-05-26 07:31:00
1672.99,0,2012-05-26 07:32:00
1668.62,0,2012-05-26 07:33:00
1664.36,1861.78325714,2012-05-26 07:34:00
